,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
328,2022-07-12 02:36:47,1541.1719,,18.60,0.8935,1.352468E-7
329,2022-07-12 02:38:16,1541.1497,,32.72,1.7210,1.352448E-7
330,2022-07-12 02:39:45,1541.1258,,32.69,1.7195,1.352427E-7
331,2022-07-12 02:41:14,1541.1021,,31.46,1.6405,1.352406E-7
332,2022-07-12 02:42:43,1541.0611,,32.73,1.7220,1.352370E-7
333,2022-07-12 02:44:12,1541.0243,,32.68,1.7185,1.352338E-7
334,2022-07-12 02:45:41,1541.0043,,32.63,1.7155,1.352321E-7
335,2022-07-12 02:47:10,1540.9799,,32.63,1.7155,1.352299E-7
336,2022-07-12 02:48:39,1540.9465,,32.70,1.7200,1.352270E-7
337,2022-07-12 02:50:08,1540.9073,,31.86,1.6660,1.352235E-7
338,2022-07-12 02:51:37,1540.8849,,32.36,1.6980,1.352216E-7
339,2022-07-12 02:53:06,1540.8617,,32.76,1.7240,1.352195E-7
340,2022-07-12 02:54:35,1540.8436,,32.64,1.7160,1.352180E-7
341,2022-07-12 02:56:04,1540.7866,,32.65,1.7165,1.352130E-7
342,2022-07-12 02:57:33,1540.7709,,32.67,1.7180,1.352116E-7
343,2022-07-12 02:59:02,1540.7515,,32.69,1.7195,1.352099E-7
344,2022-07-12 03:00:31,1540.7253,,32.64,1.7160,1.352076E-7
345,2022-07-12 03:02:00,1540.6977,,32.64,1.7160,1.352052E-7
346,2022-07-12 03:03:29,1540.6575,,32.48,1.7055,1.352016E-7
347,2022-07-12 03:04:58,1540.639,,32.69,1.7190,1.352000E-7
348,2022-07-12 03:06:27,1540.6163,,32.67,1.7180,1.351980E-7
349,2022-07-12 03:07:56,1540.5971,,30.85,1.6020,1.351963E-7
350,2022-07-12 03:09:25,1540.5697,,32.65,1.7165,1.351939E-7
351,2022-07-12 03:10:54,1540.5282,,23.94,1.1885,1.351903E-7
352,2022-07-12 03:12:23,1540.5117,,32.69,1.7190,1.351888E-7
