,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
1201,1201,2022-07-13 00:20:09,1536.3104,1.708000000000002,32.5161,0.0001348201399021,-5.9232821685746e-07
1202,1202,2022-07-13 00:21:39,1536.3099,1.7010000000000003,32.4073,0.0001348200960242,-5.923284099031006e-07
1203,1203,2022-07-13 00:23:09,1536.3107,1.2605000000000004,25.1917,0.0001348201662289,9.477249621761626e-07
1204,1204,2022-07-13 00:24:39,1536.3087,1.7014999999999991,32.415,0.0001348199907173,-2.3693154897280245e-06
1205,1205,2022-07-13 00:26:09,1536.3084,1.295499999999997,25.7921,0.0001348199643905,-3.5539739304736136e-07
1206,1206,2022-07-13 00:27:39,1536.3086,1.6960000000000015,32.3294,0.0001348199819417,2.3693156461042306e-07
1207,1207,2022-07-13 00:29:09,1536.3085,1.7149999999999963,32.6248,0.0001348199731661,-1.184657898815988e-07
1208,1208,2022-07-13 00:30:38,1536.3094,1.7139999999999986,32.6093,0.0001348200521463,1.0661914846076242e-06
1209,1209,2022-07-13 00:32:08,1536.308,1.6914999999999978,32.2593,0.0001348199292882,-1.6585215986560243e-06
1210,1210,2022-07-13 00:33:38,1536.3075,1.7079999999999984,32.5161,0.0001348198854103,-5.923293352309947e-07
1211,1211,2022-07-13 00:35:14,1536.306,1.7020000000000015,32.4228,0.0001348197537766,-1.776989740148469e-06
1212,1212,2022-07-13 00:36:44,1536.3058,1.6935000000000002,32.2904,0.0001348197362255,-2.3693199616159002e-07
1213,1213,2022-07-13 00:38:14,1536.3061,0.6745000000000019,14.385,0.0001348197625522,3.553979248425445e-07
1214,1214,2022-07-13 00:39:43,1536.3058,1.2389999999999972,24.8204,0.0001348197362255,-3.5539799424238504e-07
1215,1215,2022-07-13 00:41:13,1536.3056,1.7254999999999967,32.7875,0.0001348197186743,-2.3693202727533416e-07
1216,1216,2022-07-13 00:42:43,1536.3056,1.7050000000000018,32.4695,0.0001348197186743,0.0
